age,experience,education,job_title,location,company_size,skills,salary
56,17,Master,Product Manager,Chicago,Small (50-200),"Financial Modeling, Leadership, Excel, Communication, PowerPoint, Python, Machine Learning, SQL",153139
46,33,Master,Risk Manager,Denver,Startup (1-50),"Project Management, AWS, Python, PowerPoint, Leadership, Teamwork, JavaScript",189259
34,27,High School,Sales Executive,San Francisco,Large (1000+),"Excel, PowerPoint, AWS, Python, JavaScript, Communication, SQL, Project Management",202188
40,15,Master,Software Engineer,Atlanta,Startup (1-50),"SQL, Communication, Python, Financial Modeling, Teamwork",101846
52,22,High School,Nurse,Seattle,Small (50-200),"Financial Modeling, Project Management, Communication, Python, Machine Learning, Excel, JavaScript",146266
45,34,Bachelor,Accountant,Remote,Startup (1-50),"Communication, Leadership, Python, Machine Learning, PowerPoint, SQL",125804
38,9,Bachelor,Teacher,Austin,Medium (200-1000),"Leadership, AWS, JavaScript, SQL, Project Management, Machine Learning, Financial Modeling, Communication",90615
55,28,PhD,Product Manager,Atlanta,Medium (200-1000),"Project Management, JavaScript, Leadership, Python, Financial Modeling, PowerPoint, Machine Learning",203134
42,15,Master,Financial Analyst,Chicago,Startup (1-50),"Communication, JavaScript, Project Management, Teamwork, AWS",113726
48,7,Bachelor,Sales Executive,Seattle,Large (1000+),"Python, Excel, Project Management, Teamwork, Leadership, Financial Modeling, Communication",121940
36,24,High School,Accountant,New York,Small (50-200),"Python, Financial Modeling, Machine Learning, AWS, SQL, PowerPoint, JavaScript, Leadership",154108
38,7,Bachelor,Teacher,Boston,Large (1000+),"SQL, JavaScript, Communication, AWS, PowerPoint",121801
53,14,Bachelor,Software Engineer,Remote,Large (1000+),"AWS, Machine Learning, Leadership, Excel, PowerPoint, JavaScript",130035
23,37,Bachelor,Teacher,Remote,Small (50-200),"JavaScript, SQL, AWS, Leadership, Teamwork, Communication",111693
33,7,PhD,Marketing Manager,Los Angeles,Medium (200-1000),"Financial Modeling, Communication, Project Management, JavaScript, SQL, AWS, Python, PowerPoint",150927
44,11,Bachelor,Medical Technician,Chicago,Small (50-200),"Project Management, Python, Excel, Leadership, SQL",119034
58,31,Bachelor,Product Manager,Remote,Medium (200-1000),"Machine Learning, Financial Modeling, Project Management, AWS, Leadership",172383
41,23,Bachelor,Risk Manager,Austin,Small (50-200),"JavaScript, Python, Leadership, Financial Modeling, Project Management, Machine Learning, Communication, PowerPoint",120508
39,39,Master,Software Engineer,Chicago,Small (50-200),"AWS, Machine Learning, Communication, Python, Project Management, Excel, Financial Modeling, JavaScript",232417
35,38,Bachelor,Data Scientist,Los Angeles,Small (50-200),"Leadership, Communication, Excel, PowerPoint, AWS, Python, Financial Modeling",266841
52,10,Master,Teacher,Remote,Startup (1-50),"Excel, PowerPoint, SQL, Leadership, Communication, Teamwork, Machine Learning, Financial Modeling",82007
58,36,Bachelor,Sales Executive,New York,Large (1000+),"Machine Learning, Financial Modeling, PowerPoint, Leadership, JavaScript, Python, Project Management, Communication",279358
56,5,Bachelor,UX Designer,New York,Startup (1-50),"Excel, Communication, Teamwork, Python, Project Management, PowerPoint, Machine Learning, Financial Modeling",124740
52,22,Master,Medical Technician,Austin,Large (1000+),"AWS, Communication, Project Management, Machine Learning, Excel, Leadership",201592
47,9,High School,Sales Executive,Remote,Large (1000+),"JavaScript, SQL, PowerPoint, Machine Learning, Leadership, Teamwork, AWS, Excel",65886
26,25,Bachelor,Data Scientist,San Francisco,Large (1000+),"SQL, AWS, Machine Learning, Excel, PowerPoint, Communication, JavaScript",320427
25,33,Bachelor,Teacher,Austin,Small (50-200),"Leadership, Excel, Communication, AWS, Python, Financial Modeling",116819
46,20,Bachelor,Pharmacist,Remote,Medium (200-1000),"Excel, PowerPoint, JavaScript, SQL, AWS",125419
29,13,Master,Teacher,Atlanta,Medium (200-1000),"Teamwork, Machine Learning, PowerPoint, Leadership, AWS, Python",102642
44,5,Master,Pharmacist,Seattle,Medium (200-1000),"Python, Financial Modeling, Communication, SQL, Excel, Teamwork, Leadership, PowerPoint",136904
25,26,PhD,Product Manager,Denver,Large (1000+),"PowerPoint, Financial Modeling, Project Management, JavaScript, Machine Learning, Excel, Leadership, Communication",295220
52,6,Bachelor,Sales Executive,Remote,Startup (1-50),"Machine Learning, SQL, Financial Modeling, JavaScript, Leadership, Python, Project Management, PowerPoint",63800
43,20,Master,Risk Manager,Remote,Startup (1-50),"AWS, JavaScript, Excel, PowerPoint, Machine Learning, SQL, Python, Communication",108383
57,38,Master,DevOps Engineer,Remote,Startup (1-50),"AWS, Leadership, Excel, Project Management, Financial Modeling, Teamwork",175913
28,31,Master,Risk Manager,Atlanta,Small (50-200),"Communication, AWS, Python, Financial Modeling, Leadership, Excel",149521
45,18,Master,Financial Analyst,Remote,Large (1000+),"Communication, Leadership, SQL, PowerPoint, Excel",148502
34,1,Master,Pharmacist,Seattle,Large (1000+),"Project Management, Python, JavaScript, PowerPoint, AWS, SQL",115495
55,22,Bachelor,Investment Banker,Boston,Large (1000+),"Excel, SQL, Machine Learning, JavaScript, Financial Modeling",208567
44,27,PhD,UX Designer,Austin,Large (1000+),"Communication, Machine Learning, PowerPoint, Leadership, Teamwork, SQL, Financial Modeling, Excel",278675
35,35,Bachelor,Medical Technician,San Francisco,Startup (1-50),"PowerPoint, Leadership, JavaScript, Excel, SQL, AWS",295051
56,21,Bachelor,UX Designer,Austin,Small (50-200),"Teamwork, PowerPoint, AWS, Financial Modeling, Project Management, Communication, Machine Learning",129905
37,6,Bachelor,Risk Manager,Seattle,Medium (200-1000),"Communication, JavaScript, Project Management, Excel, PowerPoint, Python, Financial Modeling",112589
52,13,Bachelor,HR Specialist,Boston,Small (50-200),"PowerPoint, Teamwork, Machine Learning, Python, AWS",107735
33,31,Bachelor,Medical Technician,Austin,Small (50-200),"Python, AWS, Leadership, Teamwork, JavaScript, Financial Modeling, Project Management, Machine Learning",186150
23,10,Master,Marketing Manager,Atlanta,Medium (200-1000),"Financial Modeling, SQL, Excel, Teamwork, JavaScript, Leadership, Communication, Project Management",87670
59,38,Master,UX Designer,Austin,Medium (200-1000),"Python, AWS, Teamwork, SQL, Project Management, Leadership, Financial Modeling, JavaScript",239964
42,37,Bachelor,Doctor,Los Angeles,Small (50-200),"Machine Learning, Excel, AWS, Teamwork, Project Management",276284
38,34,Bachelor,Nurse,Seattle,Large (1000+),"Excel, Project Management, Leadership, PowerPoint, Communication, JavaScript, Python, Machine Learning",296767
34,16,Master,Risk Manager,New York,Small (50-200),"Teamwork, Project Management, Excel, PowerPoint, Communication, Machine Learning, AWS, JavaScript",184100
36,16,High School,Medical Technician,Chicago,Startup (1-50),"AWS, SQL, Excel, Communication, Project Management",95121
45,16,PhD,Investment Banker,Remote,Medium (200-1000),"Project Management, JavaScript, Python, SQL, Excel, Financial Modeling, Teamwork, Leadership",137835
53,7,Bachelor,Financial Analyst,New York,Medium (200-1000),"JavaScript, Excel, Teamwork, AWS, Python, Machine Learning, Leadership, PowerPoint",164108
46,9,Master,Pharmacist,Denver,Small (50-200),"JavaScript, PowerPoint, Machine Learning, AWS, Excel",120803
46,21,Bachelor,Pharmacist,Chicago,Small (50-200),"Excel, Teamwork, SQL, Communication, Financial Modeling, AWS, Python, Project Management",164017
42,7,Master,Teacher,Los Angeles,Medium (200-1000),"Financial Modeling, Machine Learning, Python, Leadership, SQL, PowerPoint, JavaScript",149422
48,30,Bachelor,Pharmacist,Boston,Medium (200-1000),"Teamwork, SQL, Python, Project Management, AWS",230894
29,15,Master,Pharmacist,Seattle,Medium (200-1000),"Teamwork, PowerPoint, Excel, AWS, JavaScript, Project Management, Python, Communication",209539
23,12,Bachelor,DevOps Engineer,Boston,Small (50-200),"Leadership, PowerPoint, Financial Modeling, Teamwork, Machine Learning, AWS",139583
27,18,PhD,DevOps Engineer,Austin,Large (1000+),"Python, Communication, AWS, SQL, PowerPoint, Financial Modeling, Project Management, Teamwork",214952
41,16,Bachelor,DevOps Engineer,Chicago,Large (1000+),"Python, JavaScript, Leadership, Machine Learning, Teamwork, Project Management",161002
40,21,Master,Pharmacist,Remote,Small (50-200),"JavaScript, Leadership, Excel, Communication, SQL, Financial Modeling, Project Management",157380
32,32,Bachelor,DevOps Engineer,Austin,Large (1000+),"Leadership, Machine Learning, Financial Modeling, Teamwork, AWS, Python, JavaScript",222219
51,5,Bachelor,Medical Technician,Chicago,Startup (1-50),"Communication, Excel, PowerPoint, Financial Modeling, SQL, Project Management, Python",96876
25,38,PhD,Product Manager,New York,Large (1000+),"JavaScript, Machine Learning, SQL, Leadership, Financial Modeling, Python, AWS, PowerPoint",518052
51,21,Bachelor,Product Manager,Los Angeles,Large (1000+),"PowerPoint, SQL, Machine Learning, Financial Modeling, Python, AWS, Communication, JavaScript",270290
42,3,Bachelor,Accountant,Boston,Medium (200-1000),"Machine Learning, Python, Leadership, Excel, SQL, JavaScript",115023
42,17,Bachelor,UX Designer,Denver,Startup (1-50),"Excel, Financial Modeling, PowerPoint, Machine Learning, AWS, Communication, SQL",120939
54,16,PhD,Data Scientist,Remote,Medium (200-1000),"Machine Learning, AWS, JavaScript, Leadership, Project Management, PowerPoint, Financial Modeling",174384
43,1,High School,HR Specialist,Chicago,Startup (1-50),"Project Management, Python, JavaScript, Leadership, PowerPoint, SQL",46410
53,6,Master,DevOps Engineer,Austin,Small (50-200),"Teamwork, PowerPoint, SQL, Python, Communication, Machine Learning, Leadership, Project Management",111214
23,24,High School,Product Manager,Denver,Large (1000+),"Financial Modeling, Leadership, JavaScript, SQL, Communication, Python",174652
32,11,Bachelor,Risk Manager,Austin,Startup (1-50),"Communication, PowerPoint, JavaScript, Python, Machine Learning, Leadership, Teamwork",82344
59,32,Bachelor,Investment Banker,Seattle,Large (1000+),"PowerPoint, Project Management, Teamwork, SQL, Financial Modeling, Communication, Python",216978
42,29,Master,DevOps Engineer,Boston,Small (50-200),"Leadership, Financial Modeling, SQL, Excel, Teamwork, AWS, Python",265570
56,27,Master,Financial Analyst,San Francisco,Small (50-200),"Python, PowerPoint, Communication, Leadership, AWS, Machine Learning, Excel",261399
42,27,Master,Software Engineer,Seattle,Medium (200-1000),"Financial Modeling, Leadership, Communication, AWS, JavaScript, Python",240499
48,34,High School,HR Specialist,San Francisco,Small (50-200),"JavaScript, Leadership, SQL, Communication, Machine Learning, Python, Teamwork, AWS",171707
36,20,High School,Teacher,Austin,Small (50-200),"Communication, Financial Modeling, Excel, Teamwork, Leadership, SQL, JavaScript, AWS",82623
44,26,Bachelor,Teacher,Boston,Small (50-200),"PowerPoint, Project Management, Leadership, JavaScript, SQL",136655
40,2,Master,Risk Manager,Austin,Startup (1-50),"Leadership, SQL, Excel, Python, JavaScript, Financial Modeling, Machine Learning",83149
54,24,Master,Product Manager,Atlanta,Medium (200-1000),"Teamwork, Excel, Machine Learning, Leadership, PowerPoint, JavaScript",171046
37,28,Master,HR Specialist,Chicago,Medium (200-1000),"SQL, Financial Modeling, PowerPoint, Excel, Project Management",168930
38,33,Master,Software Engineer,Denver,Startup (1-50),"Python, PowerPoint, Teamwork, Leadership, Communication, JavaScript, AWS",199270
25,6,Bachelor,DevOps Engineer,Boston,Large (1000+),"JavaScript, Project Management, Leadership, AWS, Excel, Python",163530
43,24,High School,Pharmacist,Boston,Small (50-200),"PowerPoint, Excel, SQL, AWS, Teamwork, Communication, Financial Modeling, JavaScript",150608
41,12,Bachelor,Sales Executive,New York,Small (50-200),"Excel, Teamwork, Project Management, Machine Learning, SQL, Communication, Financial Modeling",122842
30,23,High School,Risk Manager,New York,Large (1000+),"SQL, AWS, Python, Financial Modeling, Excel, Machine Learning, JavaScript",207568
22,39,Bachelor,Pharmacist,Denver,Large (1000+),"SQL, Communication, AWS, Excel, Project Management, Machine Learning, Teamwork, Financial Modeling",300843
41,17,Bachelor,DevOps Engineer,New York,Medium (200-1000),"Teamwork, PowerPoint, Excel, Communication, SQL, Project Management",215988
50,9,Bachelor,Nurse,Remote,Small (50-200),"JavaScript, Teamwork, SQL, Python, Leadership, Financial Modeling, Machine Learning",89383
37,29,Bachelor,Sales Executive,Atlanta,Small (50-200),"AWS, SQL, Financial Modeling, Machine Learning, Communication, Teamwork, Excel",100485
42,17,Bachelor,Medical Technician,Los Angeles,Startup (1-50),"JavaScript, Excel, Communication, PowerPoint, Project Management, Python",154671
57,32,Bachelor,Data Scientist,Denver,Large (1000+),"Excel, Communication, SQL, Leadership, Machine Learning, Teamwork, PowerPoint",249443
49,34,Bachelor,Nurse,New York,Startup (1-50),"Leadership, PowerPoint, Teamwork, Machine Learning, Python, Excel, Project Management, Communication",280294
26,29,High School,Product Manager,Austin,Small (50-200),"AWS, Financial Modeling, Python, PowerPoint, JavaScript, Project Management",127954
58,36,PhD,UX Designer,Chicago,Medium (200-1000),"Teamwork, Machine Learning, PowerPoint, Financial Modeling, Communication, Excel, JavaScript, Leadership",285858
34,33,Bachelor,Product Manager,Remote,Small (50-200),"SQL, Communication, Teamwork, Financial Modeling, Project Management",144870
22,27,Bachelor,Product Manager,San Francisco,Medium (200-1000),"Project Management, AWS, JavaScript, PowerPoint, Communication, Leadership, Teamwork",288353
49,4,Bachelor,DevOps Engineer,Boston,Medium (200-1000),"Project Management, Python, Machine Learning, Leadership, Financial Modeling, AWS, PowerPoint, Teamwork",130617
26,16,Master,Risk Manager,Remote,Large (1000+),"Project Management, JavaScript, Financial Modeling, Python, Machine Learning, Teamwork, Communication",135749
36,26,Bachelor,Sales Executive,Chicago,Startup (1-50),"SQL, Project Management, Financial Modeling, Excel, Leadership, Python",104785
29,18,Bachelor,Product Manager,Seattle,Startup (1-50),"Teamwork, Python, AWS, JavaScript, Communication, Project Management",141507
33,1,Bachelor,Product Manager,Denver,Small (50-200),"Project Management, JavaScript, AWS, PowerPoint, Communication, Excel",87291
36,36,High School,Investment Banker,Seattle,Large (1000+),"Excel, Leadership, Communication, JavaScript, Project Management",195180
51,30,High School,Product Manager,Denver,Medium (200-1000),"PowerPoint, Communication, JavaScript, AWS, Leadership, Project Management, Python, Financial Modeling",170596
23,25,Bachelor,Marketing Manager,San Francisco,Medium (200-1000),"Machine Learning, AWS, SQL, Teamwork, Leadership, Python, Project Management",191645
42,18,Bachelor,Sales Executive,Los Angeles,Medium (200-1000),"Python, Machine Learning, Project Management, JavaScript, SQL, PowerPoint",160095
45,14,Bachelor,DevOps Engineer,Los Angeles,Large (1000+),"Project Management, Excel, JavaScript, AWS, Python, Machine Learning, Teamwork, Leadership",221328
50,25,Master,Financial Analyst,New York,Medium (200-1000),"SQL, PowerPoint, Communication, Python, Machine Learning, AWS, Leadership, Financial Modeling",269237
48,33,Bachelor,DevOps Engineer,San Francisco,Medium (200-1000),"Leadership, Project Management, PowerPoint, SQL, Communication",308153
54,26,Master,Doctor,Los Angeles,Startup (1-50),"SQL, Leadership, Machine Learning, Teamwork, Excel, Project Management, PowerPoint",252006
38,36,Bachelor,Accountant,Atlanta,Medium (200-1000),"AWS, Excel, Communication, Financial Modeling, Leadership, Teamwork, JavaScript, Python",146335
59,10,Master,Software Engineer,Austin,Startup (1-50),"Python, JavaScript, Excel, Communication, Machine Learning",116634
42,27,Master,Software Engineer,Austin,Startup (1-50),"Financial Modeling, PowerPoint, Leadership, Teamwork, AWS, JavaScript, SQL",166457
59,23,Master,Sales Executive,Austin,Small (50-200),"PowerPoint, Project Management, SQL, Financial Modeling, Leadership",113760
49,15,Master,Investment Banker,Remote,Large (1000+),"AWS, Communication, Machine Learning, PowerPoint, Python, Financial Modeling",136896
33,15,Bachelor,DevOps Engineer,Los Angeles,Large (1000+),"SQL, Leadership, Excel, AWS, Machine Learning, JavaScript, Teamwork",249662
50,33,Master,Medical Technician,Los Angeles,Large (1000+),"Leadership, Python, Excel, Communication, Machine Learning, SQL",416722
47,6,Bachelor,Doctor,Chicago,Medium (200-1000),"SQL, JavaScript, Machine Learning, Communication, Excel",99861
47,4,Bachelor,Risk Manager,Denver,Small (50-200),"Python, Machine Learning, AWS, PowerPoint, Leadership, Financial Modeling",83536
52,29,Bachelor,Financial Analyst,Denver,Large (1000+),"Financial Modeling, JavaScript, Leadership, Project Management, Excel, AWS, PowerPoint",196318
47,11,Bachelor,Financial Analyst,Boston,Small (50-200),"Project Management, AWS, PowerPoint, Excel, Leadership, JavaScript, Financial Modeling, Teamwork",129424
29,29,Master,Marketing Manager,New York,Medium (200-1000),"Machine Learning, Project Management, PowerPoint, Python, Teamwork",235941
58,27,PhD,Doctor,Seattle,Large (1000+),"Communication, AWS, Python, Leadership, JavaScript, Excel, Machine Learning, Project Management",381061
34,9,PhD,Data Scientist,Chicago,Startup (1-50),"SQL, Financial Modeling, Communication, Teamwork, Leadership",127013
47,13,Master,Medical Technician,Austin,Startup (1-50),"Leadership, JavaScript, Machine Learning, PowerPoint, Excel",115689
26,0,Bachelor,Data Scientist,Denver,Startup (1-50),"Leadership, Python, Excel, PowerPoint, SQL",76926
28,6,Master,UX Designer,Seattle,Small (50-200),"Excel, Teamwork, PowerPoint, Project Management, Machine Learning, Python, Financial Modeling",129330
25,14,Master,Software Engineer,Chicago,Medium (200-1000),"JavaScript, Excel, PowerPoint, Python, Project Management, Machine Learning, Teamwork, Communication",167100
44,4,Bachelor,Risk Manager,Atlanta,Startup (1-50),"AWS, Financial Modeling, Machine Learning, Python, Leadership, Communication, PowerPoint, SQL",67458
43,3,PhD,Financial Analyst,Chicago,Medium (200-1000),"Teamwork, Leadership, Machine Learning, AWS, Python, Communication, Financial Modeling",131675
